Model,MSE,RMSE,MAE,R²,MAPE,Residual_Std,Sample_Size
Random Forest (Default),0.011542449214658046,0.1074357911250159,0.045916927308150605,0.9977288348845382,0.4867900949254551,0.10713589366018368,99
Random Forest (Tuned),0.011542449214658055,0.10743579112501594,0.045916927308150814,0.9977288348845382,0.48679009492545877,0.10713589366018374,99
